name;designation;ra_deg;dec_deg;mag
Haedus;10Eta Aur;76.628700;41.234474;3.18
Tabit;1Pi 3Ori;72.460035;6.961276;3.19
Fuyue;;267.464475;-37.043304;3.19
Errai;35Gam Cep;354.837300;77.632276;3.21
Yed Posterior;2Eps Oph;244.580370;-4.692511;3.23
Alfirk;8Bet Cep;322.164930;70.560716;3.23
Brachium;20Sig Lib;226.017585;-25.281965;3.25
Sulafat;14Gam Lyr;284.735925;32.689557;3.25
Skat;76Del Aqr;343.662555;-15.820820;3.27
Edasich;12Iot Dra;231.232410;58.966065;3.29
Propus;7Eta Gem;93.719415;22.506799;3.31
Megrez;69Del UMa;183.856290;57.032617;3.32
Chertan;70The Leo;168.560025;15.429570;3.33
Azmidi;7Xi  Pup;117.323565;-24.859786;3.34
Segin;45Eps Cas;28.598760;63.670101;3.35
Alzirr;31Xi  Gem;101.322360;12.895591;3.35
Muscida;1Omi UMa;127.566465;60.718169;3.35
Ashlesha;11Eps Hya;131.693805;6.418809;3.38
Heze;79Zet Vir;203.673300;-0.595820;3.38
Meissa;39Lam Ori;83.784495;9.934158;3.39
Minelauva;43Del Vir;193.900875;3.397470;3.39
Chamukuy;78The2Tau;67.165575;15.870883;3.40
Homam;42Zet Peg;340.365495;10.831364;3.41
Mothallah;2Alp Tri;28.270440;29.578829;3.42
Adhafera;36Zet Leo;154.172565;23.417311;3.43
Tania Borealis;33Lam UMa;154.274280;42.914365;3.45
Achird;24Eta Cas;12.273900;57.815187;3.46
Kaffaljidhma;86Gam Cet;40.825170;3.235818;3.47
Nganurganity;22Sig CMa;105.429780;-27.934830;3.49
Alula Borealis;54Nu  UMa;169.619745;33.094306;3.49
Nekkar;42Bet Boo;225.486540;40.390566;3.49
Wasat;55Del Gem;110.030745;21.982320;3.50
Sadalbari;48Mu  Peg;342.500775;24.601579;3.51
Rana;23Del Eri;55.812090;-9.763395;3.52
Subra;14Omi Leo;145.287645;9.892308;3.52
Sheliak;10Bet Lyr;282.519975;33.362667;3.52
Biham;26The Peg;332.549940;6.197865;3.52
Ain;74Eps Tau;67.154145;19.180431;3.53
Tarf;17Bet Cnc;124.128840;9.185545;3.53
Pipirima;Mu 2Sco;253.083945;-38.017536;3.56
Alkaphrah;12Kap UMa;135.906405;47.156525;3.57
Algedi;6Alp2Cap;304.513560;-12.544852;3.58
Nembus;51    And;24.498075;48.628213;3.59
Zavijava;5Bet Vir;177.673830;1.764718;3.59
Ginan;Eps Cru;185.340465;-60.401147;3.59
Bharani;41    Ari;42.495945;27.260507;3.61
Alpherg;99Eta Psc;22.870875;15.345823;3.62
Atlas;27    Tau;57.290595;24.053415;3.62
Rotanev;6Bet Del;309.387240;14.595087;3.64
Prima Hyadum;54Gam Tau;64.948335;15.627642;3.65
Nusakan;3Bet CrB;231.957270;29.105703;3.66
Thuban;11Alp Dra;211.097475;64.375850;3.67
Fulu;17Zet Cas;9.242820;53.896909;3.69
